data_name	loss_train	acc_train	loss_test	acc_test
iris	0.08618381917476654	0.9599999785423279	0.030962938517332075	1.0
Haberman’s Survival	0.49914511325882704	0.7658536434173584	0.534242578072123	0.7524752616882324
Car Evaluation	0.27502703233948017	0.8383750915527344	0.2922342524010747	0.8021015524864197
Titanic	0.38270417715879096	0.8271812200546265	0.38520577625703	0.8305084705352783
Breast Cancer Wisconsin	0.08416049140434166	0.9737417697906494	0.05919341999930289	0.9778761267662048
Pima Indian Diabetes	0.3941172659976937	0.811284065246582	0.5062490549143843	0.7677165269851685
GermanCredit Data	0.44203504217204764	0.7985074520111084	0.4939758994362571	0.7696969509124756
Image Segmentation	0.13897441284997122	0.949999988079071	0.35135419624192377	0.8714285492897034
Connect-4	0.5975381421381261	0.7500386834144592	0.6247930472406388	0.741365373134613
Poker Hand	0.4899427532637481	0.821914553642273	0.5149947304701961	0.8093045949935913
Gime-Me-Some-Credit	0.19481950977520837	0.9345495104789734	0.1981270915057498	0.9321978092193604
Covertype	0.30263909885145546	0.8774988651275635	0.31668081092162614	0.8716189861297607
